director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine,comb
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,Drama,resistance,,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz Drama
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama,uncorked,,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny Drama
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy,coffee & kareem,,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse Comedy
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Animation,trolls world tour,,Anna Kendrick Justin Timberlake Rachel Bloom Walt Dohrn Animation
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Comedy,love wedding repeat,,Olivia Munn Sam Claflin Freida Pinto Dean Craig Comedy
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family,the main event,,Seth Carr Tichina Arnold Ken Marino Jay Karas Family
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror,we summon the darkness,,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers Horror
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Romance,the lost husband,,Leslie Bibb Josh Duhamel Nora Dunn Vicky Wight Romance
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror,corona zombies,,Cody Renee Cameron Russell Coker Robin Sydney Charles Band Horror
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,sergio,,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker Drama
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation,the willoughbys,,Will Forte Maya Rudolph Alessia Cara Kris Pearn Animation
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama,extraction,,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Drama
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Drama,braking for whales,,Tom Felton Tammin Sursok Wendi McLendon-Covey Sean McEwen Drama
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Drama,bad education,,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley Drama
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies,,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott Thriller
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,all day and a night,,Ashton Sanders Jeffrey Wright Yahya Abdul-Mateen II Joe Robert Cole Drama
The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,Horror,the wretched,,John-Paul Howard Piper Curda Zarah Mahler The Pierce Brothers Horror
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Comedy,the half of it,,Leah Lewis Daniel Diemer Alexxis Lemire Alice Wu Comedy
Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,Crime,arkansas,,Liam Hemsworth Clark Duke Michael Kenneth Williams Clark Duke Crime
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Comedy,valley girl,,Jessica Rothe Josh Whitehouse Mae Whitman Rachel Lee Goldenberg Comedy
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Crime,capone,,Tom Hardy Linda Cardellini Jack Lowden Josh Trank Crime
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,Comedy,the wrong missy,,David Spade Lauren Lapkus Geoff Pierson Tyler Spindel Comedy
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Family,scoob!,,Will Forte Mark Wahlberg Jason Isaacs Tony Cervone Family
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,Thriller,blood and money,,Tom Berenger Kristen Hager Mark Sivertsen John Barr Thriller
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror,body cam,,Mary J. Blige Nat Wolff David Zayas Malik Vitthal Horror
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Action,the lovebirds,,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Action
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Thriller,inheritance,,Lily Collins Simon Pegg Chace Crawford Vaughn Stein Thriller
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance,the high note,,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra Romance
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Drama,shirley,,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker Drama
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action,the last days of american crime,,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton Action
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Horror,becky,,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion Horror"
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure,artemis fowl,,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War,da 5 bloods,,Delroy Lindo Jonathan Majors Clarke Peters Spike Lee War
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy,the king of staten island,,Pete Davidson Marisa Tomei Bill Burr Judd Apatow Comedy
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end,,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews Action
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama,wasp network,,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas Drama
Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,Comedy,feel the beat,,Elissa Down (director); Sofia Carson Enrico Colantoni Wolfgang Novogratz Elissa Down Comedy
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy,eurovision song contest: the story of fire saga,,Will Ferrell Rachel McAdams Dan Stevens David Dobkin Comedy
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy,irresistible,,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart Comedy
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family,my spy,,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,History,hamilton,,Thomas Kail (director); Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Thomas Kail History
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror,relic,,Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James Horror
LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy,desperados,,Anna Camp Robbie Amell Nasim Pedrad LP Comedy
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action,the old guard,,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War,greyhound,,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy,palm springs,,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow Comedy
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,fatal affair,,Nia Long Omar Epps Stephen Bishop Peter Sullivan Thriller
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Action,the silencing,,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Action
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Comedy,a nice girl like you,,Lucy Hale Leonidas Gulaptis Jackie Cruz The Brothers Riedell Comedy
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Horror,ghosts of war,,Brenton Thwaites Theo Rossi Skylar Astin Eric Bress Horror
"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,Comedy,animal crackers,,"John Krasinski Emily Blunt Ian McKellen Scott Christian Sava, Tony Bancroft Comedy"
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy,the kissing booth 2,,Joey King Joel Courtney Jacob Elordi Vince Marcello Comedy
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror,the rental,,Dan Stevens Alison Brie Sheila Vand Dave Franco Horror
John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Action,deep blue sea 3,,Tania Raymonde Nathaniel Buzolic Emerson Brooks John Pogue Action
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,Drama,the secret: dare to dream,,Katie Holmes Josh Lucas Jerry O'Connell Andy Tennant Drama
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama,summerland,,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale Drama
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow,,Kate Lyn Sheil Jane Adams Kentucker Audley Amy Seimetz Drama
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action,the tax collector,,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer Action
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,Drama,waiting for the barbarians,,Mark Rylance Johnny Depp Robert Pattinson Ciro Guerra Drama
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action,project power,,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman Action"
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Comedy,magic camp,,Adam DeVine Gillian Jacobs Jeffrey Tambor Mark Waters Comedy
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Comedy,spree,,Joe Keery Sasheer Zamata Mischa Barton Eugene Kotlyarenko Comedy
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Family,the one and only ivan,,Sam Rockwell Angelina Jolie Danny DeVito Thea Sharrock Family
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action,unhinged,,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte Action
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,History,tesla,,Ethan Hawke Eve Hewson Ebon Moss-Bachrach Michael Almereyda History
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action,cut throat city,,Shameik Moore T.I. Demetrius Shipp Jr. RZA Action
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,Drama,words on bathroom walls,,Charlie Plummer Andy García Taylor Russell Thor Freudenthal Drama
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action,tenet,,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan Action
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Comedy,bill & ted face the music,,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot Comedy
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Action,the new mutants,,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone Action
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Drama,the personal history of david copperfield,,Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci Drama
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Drama,i'm thinking of ending things,,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman Drama
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Animation,phineas and ferb the movie: candace against the universe,,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen Animation
